feature,bearing_left,bearing_right,left_mean,right_mean,standardized_mean_diff,ks_statistic,ks_pvalue,wasserstein_distance
spec_centroid_mean,3,4,4644.071538727143,3860.2757863567517,-1.712715568509498,0.9290352504638218,0.0,783.7957523703919
std_mean,3,4,0.11726255404122067,0.09334834532359536,-0.8650772894057862,0.7064007421150278,0.0,0.028453205544627047
rms_mean,3,4,0.16319014905727203,0.1476791913660414,-0.6966878696237017,0.672077922077922,0.0,0.019040167423227266
kurtosis_mean,3,4,1.0922871305309063,1.9552855712136374,0.3520803374390601,0.6628014842300557,0.0,0.8842586764814611
spec_centroid_std,3,4,204.58158854068898,118.17354316065696,-1.3498421554137516,0.636595547309833,0.0,86.40804538003204
peak_to_peak_mean,3,4,1.0387336200623525,0.9279875248265346,-0.27620649178640583,0.5468460111317254,0.0,0.18899477724982267
bp_1k_5k_mean,3,4,0.005723226068841783,0.006293376815889386,0.11694351427107727,0.4689239332096475,0.0,0.002336127065311766
crest_factor_mean,3,4,3.9025201267265346,3.82444409203243,-0.09241331325563086,0.323747680890538,2.909065523588237e-200,0.2232835713267245
peak_to_peak_std,3,4,0.1801804279475158,0.13709924960229197,-0.25952392297925625,0.26484230055658625,2.4220279880648132e-133,0.0432499273293398
skew_mean,3,4,-0.005335222277314151,0.019522946510880632,0.3047950318218943,0.2483766233766234,3.710552702988542e-117,0.0266467912294977
bp_1k_5k_std,3,4,0.0005744544981435282,0.0007361872482655595,0.16182737422785928,0.21985157699443414,1.12925202619674e-91,0.00022981436072178375
