fold,feature,gain,normalized_gain
holdout_bearing_3,spec_centroid_mean_bearing_range,2535937282.5287094,0.6323874905720988
holdout_bearing_3,bp_1k_5k_mean_bearing_min,732543948.8139555,0.18267471862013165
holdout_bearing_3,bp_1k_5k_mean_zscore,189127058.52777398,0.0471626750257801
holdout_bearing_3,kurtosis_mean_ema_10,172885003.09212935,0.04311238847120166
holdout_bearing_3,bp_1k_5k_mean_ema_10,168164950.18415508,0.04193534736911849
holdout_bearing_3,peak_to_peak_mean_bearing_max,73348510.6362871,0.018290941537887722
holdout_bearing_3,std_mean_bearing_max,32427034.27252829,0.008086339899483477
holdout_bearing_3,spec_centroid_mean_zscore,29844939.27218145,0.007442442044068113
holdout_bearing_3,spec_centroid_mean_ema_30,20315882.66798544,0.005066178153409856
holdout_bearing_3,crest_factor_mean_bearing_max,12124076.69925332,0.003023384881072137
holdout_bearing_3,peak_to_peak_mean_ema_30,6829850.199804544,0.0017031619269901428
holdout_bearing_3,peak_to_peak_mean_ema_10,6648699.351588607,0.0016579882820788408
holdout_bearing_3,spec_centroid_std_ema_10,4336399.576746792,0.001081369348268087
holdout_bearing_3,skew_mean_bearing_min,4210039.958584418,0.001049859009905274
holdout_bearing_3,kurtosis_mean_bearing_range,3275830.6492255786,0.0008168949358783994
holdout_bearing_3,peak_to_peak_mean_bearing_min,2971127.2786365896,0.0007409109589783518
holdout_bearing_3,peak_to_peak_mean_roll_5_mean,2628670.6759884953,0.0006555124465346503
holdout_bearing_3,spec_centroid_std_bearing_min,1760729.3230373561,0.0004390736339748963
holdout_bearing_3,bp_1k_5k_std_ema_10,1689562.133206308,0.00042132664910331154
holdout_bearing_3,bp_1k_5k_mean_roll_10_std,1446442.7478629947,0.00036069989028482
holdout_bearing_3,rms_mean_zscore,1156470.2391819954,0.0002883893531264164
holdout_bearing_3,bp_1k_5k_std_roll_10_mean,836486.0933421552,0.00020859480441867562
holdout_bearing_3,spec_centroid_std_roll_10_mean,455512.1266438477,0.00011359120459249832
