feature,source_feature,transform,parameter,statistic
bp_1k_5k_mean_ema_10,bp_1k_5k_mean,ema,10.0,
bp_1k_5k_mean_bearing_min,bp_1k_5k_mean,bearing_aggregate,,min
std_mean_bearing_max,std_mean,bearing_aggregate,,max
peak_to_peak_mean_ema_10,peak_to_peak_mean,ema,10.0,
rms_mean_zscore,rms_mean,zscore,,
kurtosis_mean_ema_10,kurtosis_mean,ema,10.0,
peak_to_peak_mean_bearing_min,peak_to_peak_mean,bearing_aggregate,,min
spec_centroid_mean_ema_30,spec_centroid_mean,ema,30.0,
rms_mean,rms_mean,base,,
bp_1k_5k_std_ema_10,bp_1k_5k_std,ema,10.0,
bp_1k_5k_std_roll_10_std,bp_1k_5k_std,rolling,10.0,std
bp_1k_5k_std_roll_10_mean,bp_1k_5k_std,rolling,10.0,mean
spec_centroid_std_zscore,spec_centroid_std,zscore,,
bp_1k_5k_std_bearing_min,bp_1k_5k_std,bearing_aggregate,,min
bp_1k_5k_mean_roll_10_std,bp_1k_5k_mean,rolling,10.0,std
bp_1k_5k_std_ema_30,bp_1k_5k_std,ema,30.0,
bp_1k_5k_std_roll_5_mean,bp_1k_5k_std,rolling,5.0,mean
bp_1k_5k_mean_zscore,bp_1k_5k_mean,zscore,,
bp_1k_5k_std_bearing_mean,bp_1k_5k_std,bearing_aggregate,,mean
bp_1k_5k_std_roll_3_mean,bp_1k_5k_std,rolling,3.0,mean
peak_to_peak_mean_zscore,peak_to_peak_mean,zscore,,
bp_1k_5k_std_ema_50,bp_1k_5k_std,ema,50.0,
bp_1k_5k_mean_roll_5_std,bp_1k_5k_mean,rolling,5.0,std
kurtosis_mean_bearing_range,kurtosis_mean,bearing_aggregate,,range
bp_1k_5k_std_roll_5_std,bp_1k_5k_std,rolling,5.0,std
bp_1k_5k_std,bp_1k_5k_std,base,,
spec_centroid_std_bearing_min,spec_centroid_std,bearing_aggregate,,min
bp_1k_5k_std_bearing_max,bp_1k_5k_std,bearing_aggregate,,max
spec_centroid_std_ema_10,spec_centroid_std,ema,10.0,
spec_centroid_std_roll_10_mean,spec_centroid_std,rolling,10.0,mean
spec_centroid_mean_zscore,spec_centroid_mean,zscore,,
spec_centroid_std_bearing_mean,spec_centroid_std,bearing_aggregate,,mean
spec_centroid_std_ema_30,spec_centroid_std,ema,30.0,
spec_centroid_std_roll_5_mean,spec_centroid_std,rolling,5.0,mean
bp_1k_5k_mean_roll_3_std,bp_1k_5k_mean,rolling,3.0,std
peak_to_peak_mean_roll_10_std,peak_to_peak_mean,rolling,10.0,std
peak_to_peak_mean_ema_30,peak_to_peak_mean,ema,30.0,
peak_to_peak_mean_roll_5_mean,peak_to_peak_mean,rolling,5.0,mean
peak_to_peak_mean_ema_50,peak_to_peak_mean,ema,50.0,
peak_to_peak_mean_roll_3_mean,peak_to_peak_mean,rolling,3.0,mean
peak_to_peak_mean,peak_to_peak_mean,base,,
skew_mean_bearing_min,skew_mean,bearing_aggregate,,min
peak_to_peak_mean_bearing_max,peak_to_peak_mean,bearing_aggregate,,max
spec_centroid_std_roll_3_mean,spec_centroid_std,rolling,3.0,mean
spec_centroid_std_ema_50,spec_centroid_std,ema,50.0,
spec_centroid_mean_bearing_range,spec_centroid_mean,bearing_aggregate,,range
peak_to_peak_std_roll_10_std,peak_to_peak_std,rolling,10.0,std
bp_1k_5k_std_roll_3_std,bp_1k_5k_std,rolling,3.0,std
crest_factor_mean_bearing_max,crest_factor_mean,bearing_aggregate,,max
spec_centroid_std_bearing_max,spec_centroid_std,bearing_aggregate,,max
